id;restaurant_id;title;location;mark
1;19018;Avon;infrastructures primary Account;67216
2;78875;connect embrace;heuristic payment;89335
3;22704;XML;revolutionize Technicien a;14613
4;95201;Automotive payment;Avon e-markets Awesome;72997
5;54475;Producteur;alliance Bedfordshire Designer;73595
6;77717;synergy empower invoice;Corée Handcrafted;73766
7;96910;program Ameliorated quantify;Awesome de;74553
8;48960;navigating;compress;78089
9;67212;Investment;Plastic;9518
10;60225;Books Borders;quantifying démocratique maroon;67513
